Index,Nombre,Edad,Curso,Peso,Altura,Sexo asignado,Transgenero,Madre adolescente,Padre adolescente,Padres divorciados,Familia monoparental,Tratamiento psicologico padre/madre,Adiccion padre/madre,Relaciones conflictivas hijo-padre/madre,Familia reconstruida,Situacion economica familiar precaria,Estudios de la madre,Estudios del padre,Supervision parental insuficiente,Maltrato al adolescente,Duelo,Ingreso familiar mensual,Desenlace
144,Peter Gray,20,Formacion Profesional,87.29,154.37,Mujer,No estoy seguro de lo que se pregunta,Si,No,Si,No,Si,Si,No,No,No,Si,Si,No,No,No,2634,Deseo
145,Bernard Gutierrez,21,Formacion Profesional,54.28,172.34,Mujer,No,No,Si,Si,Si,Si,No,No,Si,Si,Si,No,Si,No,No,2258,Deseo
146,Ollie Brown,25,Formacion Profesional,71.16,186.22,Mujer,No estoy seguro de lo que se pregunta,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,3151,Ideacion
147,Lara Lopez,16,Bachillerato,72.93,166.66,Mujer,No estoy seguro de lo que se pregunta,Si,No,No,No,No,Si,No,Si,No,No,Si,Si,Si,Si,760,Planificacion
148,Luigi Fisher,16,Bachillerato,83.85,166.71,Mujer,Si,Si,No,Si,Si,No,No,Si,Si,Si,Si,No,Si,No,Si,3403,Planificacion
149,Jeff Murphy,24,Universidad,72.81,143.18,Otro,No,No,No,Si,No,No,Si,Si,No,No,Si,No,Si,No,Si,1352,Deseo
150,Ronnie Wood,19,Universidad,54.7,137.42,Otro,No estoy seguro de lo que se pregunta,No,Si,Si,No,No,No,No,Si,No,Si,No,Si,Si,Si,3470,Ideacion
151,Ronald Wood,16,Bachillerato,62.93,176.92,Mujer,No estoy seguro de lo que se pregunta,Si,Si,Si,No,No,Si,No,No,No,Si,No,No,No,No,1547,Intencion
152,Cindy Ramsey,11,Colegio,69.16,118.95,Otro,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Si,1162,Planificacion
153,Fikayo Fernandez,13,Colegio,78.81,157.77,Hombre,No estoy seguro de lo que se pregunta,No,No,Si,No,No,No,Si,Si,No,Si,Si,Si,No,Si,3180,Planificacion
154,Frederick Nelson,25,Formacion Profesional,86.68,154.84,Mujer,No estoy seguro de ser trans,No,Si,No,No,No,No,No,Si,Si,No,No,No,Si,Si,1145,Planificacion
155,Robert Fisher,15,ESO,53.25,190.28,Otro,No estoy seguro de ser trans,No,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,1872,Finalidad
156,Jenny Morales,12,Colegio,67.96,167.84,Otro,No,Si,Si,Si,No,Si,No,Si,Si,Si,Si,No,No,Si,Si,2914,Finalidad
157,Inma Cook,10,Colegio,83.49,119.94,Mujer,No,Si,Si,Si,Si,No,No,Si,No,Si,No,No,Si,Si,No,2378,Deseo
158,Wes Gray,10,Colegio,90.55,196.27,Otro,No,Si,No,No,No,Si,Si,No,Si,Si,No,No,Si,No,Si,1427,Comunicacion
159,Kenny Thomas,24,Formacion Profesional,83.0,158.6,Otro,No,No,Si,Si,Si,Si,Si,Si,No,Si,Si,No,No,Si,No,793,Deseo
160,Fernando Ramos,25,Formacion Profesional,67.11,135.93,Mujer,Si,Si,No,No,Si,Si,Si,No,No,No,No,No,Si,Si,No,1882,Ideacion
161,Adebayo Hill,24,Universidad,82.34,142.19,Otro,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,1299,Ideacion
162,Jordan Moore,21,Universidad,56.85,146.71,Hombre,No estoy seguro de lo que se pregunta,No,Si,Si,No,No,No,Si,No,Si,No,Si,No,No,No,3293,Finalidad
163,Osborn Johnson,15,ESO,82.47,121.55,Otro,No,No,No,Si,Si,No,No,Si,Si,Si,No,Si,Si,Si,Si,733,Deseo
